"K","x","y","P","r","g","b"
11500,0.273,0.2825,1.991e+16,0.5357,0.664,1
11600,0.2726,0.282,2.036e+16,0.5322,0.6615,1
11700,0.2722,0.2816,2.081e+16,0.5287,0.659,1
11800,0.2719,0.2811,2.126e+16,0.5253,0.6566,1
11900,0.2715,0.2807,2.171e+16,0.522,0.6542,1
12000,0.2711,0.2803,2.217e+16,0.5187,0.6519,1
12100,0.2708,0.2799,2.263e+16,0.5156,0.6497,1
12200,0.2704,0.2794,2.31e+16,0.5125,0.6474,1
12300,0.2701,0.279,2.356e+16,0.5095,0.6453,1
12400,0.2697,0.2786,2.403e+16,0.5066,0.6432,1
12500,0.2694,0.2783,2.451e+16,0.5037,0.6411,1
12600,0.2691,0.2779,2.498e+16,0.5009,0.6391,1
12700,0.2688,0.2775,2.546e+16,0.4982,0.6371,1
12800,0.2684,0.2771,2.594e+16,0.4955,0.6351,1
12900,0.2681,0.2768,2.643e+16,0.4929,0.6332,1
13000,0.2678,0.2764,2.691e+16,0.4904,0.6314,1
13100,0.2675,0.2761,2.74e+16,0.4879,0.6295,1
13200,0.2673,0.2757,2.789e+16,0.4854,0.6277,1
13300,0.267,0.2754,2.838e+16,0.4831,0.626,1
13400,0.2667,0.2751,2.888e+16,0.4807,0.6243,1
13500,0.2664,0.2747,2.938e+16,0.4785,0.6226,1
13600,0.2662,0.2744,2.988e+16,0.4762,0.6209,1
13700,0.2659,0.2741,3.038e+16,0.474,0.6193,1
13800,0.2656,0.2738,3.089e+16,0.4719,0.6177,1
13900,0.2654,0.2735,3.139e+16,0.4698,0.6161,1
14000,0.2651,0.2732,3.19e+16,0.4677,0.6146,1
14100,0.2649,0.2729,3.241e+16,0.4657,0.6131,1
14200,0.2646,0.2726,3.293e+16,0.4638,0.6116,1
14300,0.2644,0.2723,3.344e+16,0.4618,0.6102,1
14400,0.2642,0.272,3.396e+16,0.4599,0.6087,1
14500,0.2639,0.2718,3.448e+16,0.4581,0.6073,1
14600,0.2637,0.2715,3.5e+16,0.4563,0.606,1
14700,0.2635,0.2712,3.552e+16,0.4545,0.6046,1
14800,0.2633,0.2709,3.605e+16,0.4527,0.6033,1
14900,0.2631,0.2707,3.657e+16,0.451,0.602,1
15000,0.2629,0.2704,3.71e+16,0.4493,0.6007,1
15100,0.2626,0.2702,3.763e+16,0.4477,0.5994,1
15200,0.2624,0.2699,3.817e+16,0.446,0.5982,1
15300,0.2622,0.2697,3.87e+16,0.4445,0.597,1
15400,0.262,0.2694,3.923e+16,0.4429,0.5958,1
15500,0.2618,0.2692,3.977e+16,0.4413,0.5946,1
15600,0.2617,0.269,4.031e+16,0.4398,0.5935,1
15700,0.2615,0.2687,4.085e+16,0.4384,0.5923,1
15800,0.2613,0.2685,4.139e+16,0.4369,0.5912,1
15900,0.2611,0.2683,4.194e+16,0.4355,0.5901,1
16000,0.2609,0.2681,4.248e+16,0.4341,0.589,1
16100,0.2607,0.2678,4.303e+16,0.4327,0.5879,1
16200,0.2606,0.2676,4.358e+16,0.4313,0.5869,1
16300,0.2604,0.2674,4.413e+16,0.43,0.5859,1
16400,0.2602,0.2672,4.468e+16,0.4287,0.5848,1
16500,0.2601,0.267,4.523e+16,0.4274,0.5838,1
16600,0.2599,0.2668,4.579e+16,0.4261,0.5829,1
16700,0.2597,0.2666,4.634e+16,0.4249,0.5819,1
16800,0.2596,0.2664,4.69e+16,0.4236,0.5809,1
16900,0.2594,0.2662,4.746e+16,0.4224,0.58,1
17000,0.2593,0.266,4.802e+16,0.4212,0.5791,1
17100,0.2591,0.2658,4.858e+16,0.4201,0.5781,1
17200,0.259,0.2656,4.914e+16,0.4189,0.5772,1
17300,0.2588,0.2654,4.971e+16,0.4178,0.5763,1
17400,0.2587,0.2653,5.027e+16,0.4167,0.5755,1
17500,0.2585,0.2651,5.084e+16,0.4156,0.5746,1
17600,0.2584,0.2649,5.141e+16,0.4145,0.5738,1
17700,0.2582,0.2647,5.197e+16,0.4134,0.5729,1
17800,0.2581,0.2645,5.254e+16,0.4124,0.5721,1
17900,0.258,0.2644,5.312e+16,0.4113,0.5713,1
18000,0.2578,0.2642,5.369e+16,0.4103,0.5705,1
18100,0.2577,0.264,5.426e+16,0.4093,0.5697,1
18200,0.2575,0.2639,5.484e+16,0.4083,0.5689,1
18300,0.2574,0.2637,5.541e+16,0.4074,0.5681,1
18400,0.2573,0.2635,5.599e+16,0.4064,0.5674,1
18500,0.2572,0.2634,5.657e+16,0.4055,0.5666,1
18600,0.257,0.2632,5.715e+16,0.4045,0.5659,1
18700,0.2569,0.2631,5.773e+16,0.4036,0.5652,1
18800,0.2568,0.2629,5.831e+16,0.4027,0.5644,1
18900,0.2567,0.2628,5.889e+16,0.4018,0.5637,1
19000,0.2566,0.2626,5.947e+16,0.4009,0.563,1
19100,0.2564,0.2625,6.006e+16,0.4001,0.5623,1
19200,0.2563,0.2623,6.064e+16,0.3992,0.5616,1
19300,0.2562,0.2622,6.123e+16,0.3984,0.561,1
19400,0.2561,0.262,6.181e+16,0.3975,0.5603,1
19500,0.256,0.2619,6.24e+16,0.3967,0.5596,1
19600,0.2559,0.2618,6.299e+16,0.3959,0.559,1
19700,0.2558,0.2616,6.358e+16,0.3951,0.5584,1
19800,0.2557,0.2615,6.417e+16,0.3943,0.5577,1
19900,0.2555,0.2613,6.476e+16,0.3935,0.5571,1
20000,0.2554,0.2612,6.535e+16,0.3928,0.5565,1
20100,0.2553,0.2611,6.595e+16,0.392,0.5559,1
20200,0.2552,0.2609,6.654e+16,0.3913,0.5553,1
20300,0.2551,0.2608,6.714e+16,0.3905,0.5547,1
20400,0.255,0.2607,6.773e+16,0.3898,0.5541,1
20500,0.2549,0.2606,6.833e+16,0.3891,0.5535,1
20600,0.2548,0.2604,6.893e+16,0.3884,0.5529,1
20700,0.2547,0.2603,6.952e+16,0.3877,0.5524,1
20800,0.2546,0.2602,7.012e+16,0.387,0.5518,1
20900,0.2546,0.2601,7.072e+16,0.3863,0.5513,1
21000,0.2545,0.26,7.132e+16,0.3856,0.5507,1
21100,0.2544,0.2598,7.193e+16,0.385,0.5502,1
21200,0.2543,0.2597,7.253e+16,0.3843,0.5496,1
21300,0.2542,0.2596,7.313e+16,0.3836,0.5491,1
21400,0.2541,0.2595,7.373e+16,0.383,0.5486,1
21500,0.254,0.2594,7.434e+16,0.3824,0.5481,1
21600,0.2539,0.2593,7.494e+16,0.3817,0.5476,1
21700,0.2538,0.2591,7.555e+16,0.3811,0.5471,1
21800,0.2537,0.259,7.616e+16,0.3805,0.5466,1
21900,0.2537,0.2589,7.676e+16,0.3799,0.5461,1
22000,0.2536,0.2588,7.737e+16,0.3793,0.5456,1
22100,0.2535,0.2587,7.798e+16,0.3787,0.5451,1
22200,0.2534,0.2586,7.859e+16,0.3781,0.5446,1
22300,0.2533,0.2585,7.92e+16,0.3776,0.5441,1
22400,0.2533,0.2584,7.981e+16,0.377,0.5437,1
22500,0.2532,0.2583,8.042e+16,0.3764,0.5432,1
22600,0.2531,0.2582,8.103e+16,0.3759,0.5428,1
22700,0.253,0.2581,8.164e+16,0.3753,0.5423,1
22800,0.2529,0.258,8.226e+16,0.3748,0.5419,1
