"K","x","y","P","r","g","b"
1000,0.6499,0.3474,2472000,1,0.0337,0
1100,0.6361,0.3594,21120000,1,0.0592,0
1200,0.6226,0.3703,128200000,1,0.0846,0
1300,0.6095,0.3801,595900000,1,0.1096,0
1400,0.5966,0.3887,2.243e+09,1,0.1341,0
1500,0.5841,0.3962,7.121e+09,1,0.1578,0
1600,0.572,0.4025,1.967e+10,1,0.1806,0
1700,0.5601,0.4076,4.839e+10,1,0.2025,0
1800,0.5486,0.4118,1.081e+11,1,0.2235,0
1900,0.5375,0.415,2.224e+11,1,0.2434,0
2000,0.5267,0.4173,4.268e+11,1,0.2647,0.0033
2100,0.5162,0.4188,7.71e+11,1,0.2889,0.012
2200,0.5062,0.4196,1.322e+12,1,0.3126,0.0219
2300,0.4965,0.4198,2.166e+12,1,0.336,0.0331
2400,0.4872,0.4194,3.408e+12,1,0.3589,0.0454
2500,0.4782,0.4186,5.178e+12,1,0.3814,0.0588
2600,0.4696,0.4173,7.624e+12,1,0.4034,0.0734
2700,0.4614,0.4158,1.092e+13,1,0.425,0.0889
2800,0.4535,0.4139,1.524e+13,1,0.4461,0.1054
2900,0.446,0.4118,2.081e+13,1,0.4668,0.1229
3000,0.4388,0.4095,2.784e+13,1,0.487,0.1411
3100,0.432,0.407,3.657e+13,1,0.5067,0.1602
3200,0.4254,0.4044,4.725e+13,1,0.5259,0.18
3300,0.4192,0.4018,6.012e+13,1,0.5447,0.2005
3400,0.4132,0.399,7.545e+13,1,0.563,0.2216
3500,0.4075,0.3962,9.349e+13,1,0.5809,0.2433
3600,0.4021,0.3934,1.145e+14,1,0.5983,0.2655
3700,0.3969,0.3905,1.387e+14,1,0.6153,0.2881
3800,0.3919,0.3877,1.665e+14,1,0.6318,0.3112
3900,0.3872,0.3849,1.979e+14,1,0.648,0.3346
4000,0.3827,0.382,2.333e+14,1,0.6636,0.3583
4100,0.3784,0.3793,2.729e+14,1,0.6789,0.3823
4200,0.3743,0.3765,3.169e+14,1,0.6938,0.4066
4300,0.3704,0.3738,3.654e+14,1,0.7083,0.431
4400,0.3666,0.3711,4.188e+14,1,0.7223,0.4556
4500,0.3631,0.3685,4.771e+14,1,0.736,0.4803
4600,0.3596,0.3659,5.406e+14,1,0.7494,0.5051
4700,0.3563,0.3634,6.093e+14,1,0.7623,0.5299
4800,0.3532,0.3609,6.835e+14,1,0.775,0.5548
4900,0.3502,0.3585,7.632e+14,1,0.7872,0.5797
5000,0.3473,0.3561,8.485e+14,1,0.7992,0.6045
5100,0.3446,0.3538,9.396e+14,1,0.8108,0.6293
5200,0.3419,0.3516,1.036e+15,1,0.8221,0.6541
5300,0.3394,0.3494,1.139e+15,1,0.833,0.6787
5400,0.3369,0.3472,1.248e+15,1,0.8437,0.7032
5500,0.3346,0.3451,1.363e+15,1,0.8541,0.7277
5600,0.3323,0.3431,1.484e+15,1,0.8642,0.7519
5700,0.3302,0.3411,1.611e+15,1,0.874,0.776
5800,0.3281,0.3392,1.744e+15,1,0.8836,0.8
5900,0.3261,0.3373,1.883e+15,1,0.8929,0.8238
6000,0.3242,0.3355,2.028e+15,1,0.9019,0.8473
6100,0.3223,0.3337,2.179e+15,1,0.9107,0.8707
6200,0.3205,0.3319,2.337e+15,1,0.9193,0.8939
6300,0.3188,0.3302,2.5e+15,1,0.9276,0.9168
6400,0.3171,0.3286,2.669e+15,1,0.9357,0.9396
6500,0.3155,0.327,2.845e+15,1,0.9436,0.9621
6600,0.314,0.3254,3.026e+15,1,0.9513,0.9844
6700,0.3125,0.3238,3.214e+15,0.9937,0.9526,1
6800,0.311,0.3224,3.407e+15,0.9726,0.9395,1
6900,0.3097,0.3209,3.606e+15,0.9526,0.927,1
7000,0.3083,0.3195,3.811e+15,0.9337,0.915,1
7100,0.307,0.3181,4.022e+15,0.9157,0.9035,1
7200,0.3058,0.3168,4.238e+15,0.8986,0.8925,1
7300,0.3045,0.3154,4.46e+15,0.8823,0.8819,1
7400,0.3034,0.3142,4.688e+15,0.8668,0.8718,1
7500,0.3022,0.3129,4.92e+15,0.852,0.8621,1
7600,0.3011,0.3117,5.159e+15,0.8379,0.8527,1
7700,0.3,0.3105,5.402e+15,0.8244,0.8437,1
7800,0.299,0.3094,5.651e+15,0.8115,0.8351,1
7900,0.298,0.3082,5.906e+15,0.7992,0.8268,1
8000,0.297,0.3071,6.165e+15,0.7874,0.8187,1
8100,0.2961,0.3061,6.429e+15,0.7761,0.811,1
8200,0.2952,0.305,6.698e+15,0.7652,0.8035,1
8300,0.2943,0.304,6.973e+15,0.7548,0.7963,1
8400,0.2934,0.303,7.252e+15,0.7449,0.7894,1
8500,0.2926,0.302,7.535e+15,0.7353,0.7827,1
8600,0.2917,0.3011,7.824e+15,0.726,0.7762,1
8700,0.291,0.3001,8.117e+15,0.7172,0.7699,1
8800,0.2902,0.2992,8.415e+15,0.7086,0.7638,1
8900,0.2894,0.2983,8.717e+15,0.7004,0.7579,1
9000,0.2887,0.2975,9.023e+15,0.6925,0.7522,1
9100,0.288,0.2966,9.334e+15,0.6848,0.7467,1
9200,0.2873,0.2958,9.649e+15,0.6774,0.7414,1
9300,0.2866,0.295,9.969e+15,0.6703,0.7362,1
9400,0.286,0.2942,1.029e+16,0.6635,0.7311,1
9500,0.2853,0.2934,1.062e+16,0.6568,0.7263,1
9600,0.2847,0.2927,1.095e+16,0.6504,0.7215,1
9700,0.2841,0.2919,1.129e+16,0.6442,0.7169,1
9800,0.2835,0.2912,1.163e+16,0.6382,0.7124,1
9900,0.2829,0.2905,1.197e+16,0.6324,0.7081,1
10000,0.2824,0.2898,1.231e+16,0.6268,0.7039,1
10100,0.2818,0.2891,1.267e+16,0.6213,0.6998,1
10200,0.2813,0.2884,1.302e+16,0.6161,0.6958,1
10300,0.2807,0.2878,1.338e+16,0.6109,0.6919,1
10400,0.2802,0.2871,1.374e+16,0.606,0.6881,1
10500,0.2797,0.2865,1.41e+16,0.6012,0.6844,1
10600,0.2792,0.2859,1.447e+16,0.5965,0.6808,1
10700,0.2788,0.2853,1.484e+16,0.5919,0.6773,1
10800,0.2783,0.2847,1.521e+16,0.5875,0.6739,1
10900,0.2778,0.2841,1.559e+16,0.5833,0.6706,1
11000,0.2774,0.2836,1.597e+16,0.5791,0.6674,1
11100,0.277,0.283,1.636e+16,0.575,0.6642,1
11200,0.2765,0.2825,1.674e+16,0.5711,0.6611,1
11300,0.2761,0.2819,1.713e+16,0.5673,0.6581,1
11400,0.2757,0.2814,1.752e+16,0.5636,0.6552,1
11500,0.2753,0.2809,1.792e+16,0.5599,0.6523,1
11600,0.2749,0.2804,1.832e+16,0.5564,0.6495,1
11700,0.2745,0.2799,1.872e+16,0.553,0.6468,1
11800,0.2742,0.2794,1.912e+16,0.5496,0.6441,1
11900,0.2738,0.2789,1.953e+16,0.5463,0.6415,1
12000,0.2734,0.2785,1.994e+16,0.5431,0.6389,1
12100,0.2731,0.278,2.035e+16,0.54,0.6364,1
12200,0.2727,0.2776,2.076e+16,0.537,0.634,1
12300,0.2724,0.2771,2.118e+16,0.534,0.6316,1
12400,0.2721,0.2767,2.16e+16,0.5312,0.6293,1
12500,0.2717,0.2763,2.202e+16,0.5283,0.627,1
12600,0.2714,0.2758,2.244e+16,0.5256,0.6247,1
12700,0.2711,0.2754,2.287e+16,0.5229,0.6225,1
12800,0.2708,0.275,2.33e+16,0.5203,0.6204,1
12900,0.2705,0.2746,2.373e+16,0.5177,0.6183,1
13000,0.2702,0.2742,2.416e+16,0.5152,0.6162,1
13100,0.2699,0.2738,2.459e+16,0.5128,0.6142,1
13200,0.2696,0.2735,2.503e+16,0.5104,0.6122,1
13300,0.2694,0.2731,2.547e+16,0.508,0.6103,1
13400,0.2691,0.2727,2.591e+16,0.5057,0.6084,1
13500,0.2688,0.2724,2.635e+16,0.5035,0.6065,1
13600,0.2686,0.272,2.68e+16,0.5013,0.6047,1
13700,0.2683,0.2717,2.724e+16,0.4991,0.6029,1
13800,0.268,0.2713,2.769e+16,0.497,0.6012,1
13900,0.2678,0.271,2.814e+16,0.495,0.5994,1
14000,0.2675,0.2707,2.86e+16,0.493,0.5978,1
14100,0.2673,0.2703,2.905e+16,0.491,0.5961,1
14200,0.2671,0.27,2.951e+16,0.4891,0.5945,1
14300,0.2668,0.2697,2.997e+16,0.4872,0.5929,1
14400,0.2666,0.2694,3.043e+16,0.4853,0.5913,1
14500,0.2664,0.2691,3.089e+16,0.4835,0.5898,1
14600,0.2662,0.2688,3.135e+16,0.4817,0.5882,1
14700,0.2659,0.2685,3.182e+16,0.4799,0.5868,1
14800,0.2657,0.2682,3.228e+16,0.4782,0.5853,1
14900,0.2655,0.2679,3.275e+16,0.4765,0.5839,1
15000,0.2653,0.2676,3.322e+16,0.4749,0.5824,1
15100,0.2651,0.2673,3.369e+16,0.4733,0.5811,1
15200,0.2649,0.2671,3.416e+16,0.4717,0.5797,1
15300,0.2647,0.2668,3.464e+16,0.4701,0.5784,1
15400,0.2645,0.2665,3.511e+16,0.4686,0.577,1
15500,0.2643,0.2663,3.559e+16,0.4671,0.5757,1
15600,0.2641,0.266,3.607e+16,0.4656,0.5745,1
15700,0.2639,0.2657,3.655e+16,0.4641,0.5732,1
15800,0.2638,0.2655,3.703e+16,0.4627,0.572,1
15900,0.2636,0.2652,3.751e+16,0.4613,0.5708,1
16000,0.2634,0.265,3.8e+16,0.4599,0.5696,1
16100,0.2632,0.2648,3.848e+16,0.4586,0.5684,1
16200,0.2631,0.2645,3.897e+16,0.4572,0.5673,1
16300,0.2629,0.2643,3.946e+16,0.4559,0.5661,1
16400,0.2627,0.2641,3.995e+16,0.4546,0.565,1
16500,0.2626,0.2638,4.044e+16,0.4534,0.5639,1
16600,0.2624,0.2636,4.093e+16,0.4521,0.5628,1
16700,0.2622,0.2634,4.143e+16,0.4509,0.5617,1
16800,0.2621,0.2632,4.192e+16,0.4497,0.5607,1
16900,0.2619,0.2629,4.241e+16,0.4485,0.5597,1
17000,0.2618,0.2627,4.291e+16,0.4474,0.5586,1
17100,0.2616,0.2625,4.341e+16,0.4462,0.5576,1
17200,0.2615,0.2623,4.391e+16,0.4451,0.5566,1
17300,0.2613,0.2621,4.441e+16,0.444,0.5557,1
17400,0.2612,0.2619,4.491e+16,0.4429,0.5547,1
17500,0.261,0.2617,4.541e+16,0.4418,0.5538,1
17600,0.2609,0.2615,4.592e+16,0.4408,0.5528,1
17700,0.2608,0.2613,4.642e+16,0.4397,0.5519,1
17800,0.2606,0.2611,4.693e+16,0.4387,0.551,1
17900,0.2605,0.2609,4.743e+16,0.4377,0.5501,1
18000,0.2604,0.2607,4.794e+16,0.4367,0.5492,1
18100,0.2602,0.2606,4.845e+16,0.4357,0.5483,1
18200,0.2601,0.2604,4.896e+16,0.4348,0.5475,1
18300,0.26,0.2602,4.947e+16,0.4338,0.5466,1
18400,0.2598,0.26,4.998e+16,0.4329,0.5458,1
18500,0.2597,0.2598,5.049e+16,0.4319,0.545,1
18600,0.2596,0.2597,5.1e+16,0.431,0.5442,1
18700,0.2595,0.2595,5.152e+16,0.4301,0.5434,1
18800,0.2593,0.2593,5.203e+16,0.4293,0.5426,1
18900,0.2592,0.2592,5.255e+16,0.4284,0.5418,1
19000,0.2591,0.259,5.307e+16,0.4275,0.541,1
19100,0.259,0.2588,5.358e+16,0.4267,0.5403,1
19200,0.2589,0.2587,5.41e+16,0.4258,0.5395,1
19300,0.2588,0.2585,5.462e+16,0.425,0.5388,1
19400,0.2587,0.2584,5.514e+16,0.4242,0.5381,1
19500,0.2586,0.2582,5.566e+16,0.4234,0.5373,1
19600,0.2584,0.258,5.618e+16,0.4226,0.5366,1
19700,0.2583,0.2579,5.671e+16,0.4218,0.5359,1
19800,0.2582,0.2577,5.723e+16,0.4211,0.5352,1
19900,0.2581,0.2576,5.775e+16,0.4203,0.5345,1
