"K","x","y","P","r","g","b"
20000,0.258,0.2574,5.828e+16,0.4196,0.5339,1
20100,0.2579,0.2573,5.88e+16,0.4188,0.5332,1
20200,0.2578,0.2572,5.933e+16,0.4181,0.5325,1
20300,0.2577,0.257,5.986e+16,0.4174,0.5319,1
20400,0.2576,0.2569,6.038e+16,0.4167,0.5312,1
20500,0.2575,0.2567,6.091e+16,0.416,0.5306,1
20600,0.2574,0.2566,6.144e+16,0.4153,0.53,1
20700,0.2573,0.2565,6.197e+16,0.4146,0.5293,1
20800,0.2572,0.2563,6.25e+16,0.4139,0.5287,1
20900,0.2571,0.2562,6.303e+16,0.4133,0.5281,1
21000,0.2571,0.2561,6.357e+16,0.4126,0.5275,1
21100,0.257,0.2559,6.41e+16,0.4119,0.5269,1
21200,0.2569,0.2558,6.463e+16,0.4113,0.5264,1
21300,0.2568,0.2557,6.517e+16,0.4107,0.5258,1
21400,0.2567,0.2555,6.57e+16,0.41,0.5252,1
21500,0.2566,0.2554,6.623e+16,0.4094,0.5246,1
21600,0.2565,0.2553,6.677e+16,0.4088,0.5241,1
21700,0.2564,0.2552,6.731e+16,0.4082,0.5235,1
21800,0.2564,0.255,6.784e+16,0.4076,0.523,1
21900,0.2563,0.2549,6.838e+16,0.407,0.5224,1
22000,0.2562,0.2548,6.892e+16,0.4064,0.5219,1
22100,0.2561,0.2547,6.946e+16,0.4059,0.5214,1
22200,0.256,0.2546,7e+16,0.4053,0.5209,1
22300,0.2559,0.2545,7.054e+16,0.4047,0.5203,1
22400,0.2559,0.2543,7.108e+16,0.4042,0.5198,1
22500,0.2558,0.2542,7.162e+16,0.4036,0.5193,1
22600,0.2557,0.2541,7.216e+16,0.4031,0.5188,1
22700,0.2556,0.254,7.27e+16,0.4026,0.5183,1
22800,0.2556,0.2539,7.325e+16,0.402,0.5178,1
22900,0.2555,0.2538,7.379e+16,0.4015,0.5174,1
23000,0.2554,0.2537,7.433e+16,0.401,0.5169,1
23100,0.2553,0.2536,7.488e+16,0.4005,0.5164,1
23200,0.2553,0.2535,7.542e+16,0.4,0.5159,1
23300,0.2552,0.2534,7.597e+16,0.3995,0.5155,1
23400,0.2551,0.2533,7.651e+16,0.399,0.515,1
23500,0.2551,0.2532,7.706e+16,0.3985,0.5146,1
23600,0.255,0.2531,7.76e+16,0.398,0.5141,1
23700,0.2549,0.253,7.815e+16,0.3975,0.5137,1
23800,0.2548,0.2529,7.87e+16,0.397,0.5132,1
23900,0.2548,0.2528,7.925e+16,0.3966,0.5128,1
24000,0.2547,0.2527,7.98e+16,0.3961,0.5123,1
24100,0.2546,0.2526,8.035e+16,0.3956,0.5119,1
24200,0.2546,0.2525,8.089e+16,0.3952,0.5115,1
24300,0.2545,0.2524,8.144e+16,0.3947,0.5111,1
24400,0.2544,0.2523,8.199e+16,0.3943,0.5107,1
24500,0.2544,0.2522,8.255e+16,0.3938,0.5103,1
24600,0.2543,0.2521,8.31e+16,0.3934,0.5098,1
24700,0.2543,0.252,8.365e+16,0.393,0.5094,1
24800,0.2542,0.2519,8.42e+16,0.3925,0.509,1
24900,0.2541,0.2518,8.475e+16,0.3921,0.5086,1
25000,0.2541,0.2517,8.531e+16,0.3917,0.5083,1
25100,0.254,0.2516,8.586e+16,0.3913,0.5079,1
25200,0.254,0.2516,8.641e+16,0.3909,0.5075,1
25300,0.2539,0.2515,8.697e+16,0.3905,0.5071,1
25400,0.2538,0.2514,8.752e+16,0.3901,0.5067,1
25500,0.2538,0.2513,8.808e+16,0.3897,0.5064,1
25600,0.2537,0.2512,8.863e+16,0.3893,0.506,1
25700,0.2537,0.2511,8.919e+16,0.3889,0.5056,1
25800,0.2536,0.2511,8.974e+16,0.3885,0.5053,1
25900,0.2535,0.251,9.03e+16,0.3881,0.5049,1
26000,0.2535,0.2509,9.086e+16,0.3877,0.5045,1
26100,0.2534,0.2508,9.141e+16,0.3874,0.5042,1
26200,0.2534,0.2507,9.197e+16,0.387,0.5038,1
26300,0.2533,0.2507,9.253e+16,0.3866,0.5035,1
26400,0.2533,0.2506,9.309e+16,0.3863,0.5032,1
26500,0.2532,0.2505,9.365e+16,0.3859,0.5028,1
26600,0.2532,0.2504,9.421e+16,0.3855,0.5025,1
26700,0.2531,0.2503,9.476e+16,0.3852,0.5021,1
26800,0.2531,0.2503,9.532e+16,0.3848,0.5018,1
26900,0.253,0.2502,9.588e+16,0.3845,0.5015,1
27000,0.253,0.2501,9.644e+16,0.3841,0.5012,1
27100,0.2529,0.25,9.701e+16,0.3838,0.5008,1
27200,0.2529,0.25,9.757e+16,0.3835,0.5005,1
27300,0.2528,0.2499,9.813e+16,0.3831,0.5002,1
27400,0.2528,0.2498,9.869e+16,0.3828,0.4999,1
27500,0.2527,0.2497,9.925e+16,0.3825,0.4996,1
27600,0.2527,0.2497,9.981e+16,0.3821,0.4993,1
27700,0.2526,0.2496,1.004e+17,0.3818,0.499,1
27800,0.2526,0.2495,1.009e+17,0.3815,0.4987,1
27900,0.2525,0.2495,1.015e+17,0.3812,0.4984,1
28000,0.2525,0.2494,1.021e+17,0.3809,0.4981,1
28100,0.2524,0.2493,1.026e+17,0.3805,0.4978,1
28200,0.2524,0.2493,1.032e+17,0.3802,0.4975,1
28300,0.2523,0.2492,1.038e+17,0.3799,0.4972,1
28400,0.2523,0.2491,1.043e+17,0.3796,0.4969,1
28500,0.2523,0.2491,1.049e+17,0.3793,0.4966,1
28600,0.2522,0.249,1.055e+17,0.379,0.4963,1
28700,0.2522,0.2489,1.06e+17,0.3787,0.496,1
28800,0.2521,0.2489,1.066e+17,0.3784,0.4958,1
28900,0.2521,0.2488,1.072e+17,0.3781,0.4955,1
29000,0.252,0.2487,1.077e+17,0.3779,0.4952,1
29100,0.252,0.2487,1.083e+17,0.3776,0.4949,1
29200,0.2519,0.2486,1.089e+17,0.3773,0.4947,1
29300,0.2519,0.2485,1.094e+17,0.377,0.4944,1
29400,0.2519,0.2485,1.1e+17,0.3767,0.4941,1
29500,0.2518,0.2484,1.106e+17,0.3764,0.4939,1
29600,0.2518,0.2484,1.111e+17,0.3762,0.4936,1
29700,0.2517,0.2483,1.117e+17,0.3759,0.4934,1
29800,0.2517,0.2482,1.123e+17,0.3756,0.4931,1
29900,0.2517,0.2482,1.128e+17,0.3754,0.4928,1
30000,0.2516,0.2481,1.134e+17,0.3751,0.4926,1
30100,0.2516,0.2481,1.14e+17,0.3748,0.4923,1
30200,0.2515,0.248,1.145e+17,0.3746,0.4921,1
30300,0.2515,0.248,1.151e+17,0.3743,0.4918,1
30400,0.2515,0.2479,1.157e+17,0.3741,0.4916,1
30500,0.2514,0.2478,1.162e+17,0.3738,0.4914,1
30600,0.2514,0.2478,1.168e+17,0.3735,0.4911,1
30700,0.2513,0.2477,1.174e+17,0.3733,0.4909,1
30800,0.2513,0.2477,1.18e+17,0.373,0.4906,1
30900,0.2513,0.2476,1.185e+17,0.3728,0.4904,1
31000,0.2512,0.2476,1.191e+17,0.3726,0.4902,1
31100,0.2512,0.2475,1.197e+17,0.3723,0.4899,1
31200,0.2512,0.2474,1.202e+17,0.3721,0.4897,1
31300,0.2511,0.2474,1.208e+17,0.3718,0.4895,1
31400,0.2511,0.2473,1.214e+17,0.3716,0.4893,1
31500,0.2511,0.2473,1.22e+17,0.3714,0.489,1
31600,0.251,0.2472,1.225e+17,0.3711,0.4888,1
31700,0.251,0.2472,1.231e+17,0.3709,0.4886,1
31800,0.2509,0.2471,1.237e+17,0.3707,0.4884,1
31900,0.2509,0.2471,1.242e+17,0.3704,0.4881,1
32000,0.2509,0.247,1.248e+17,0.3702,0.4879,1
32100,0.2508,0.247,1.254e+17,0.37,0.4877,1
32200,0.2508,0.2469,1.26e+17,0.3698,0.4875,1
32300,0.2508,0.2469,1.265e+17,0.3695,0.4873,1
32400,0.2507,0.2468,1.271e+17,0.3693,0.4871,1
32500,0.2507,0.2468,1.277e+17,0.3691,0.4869,1
32600,0.2507,0.2467,1.283e+17,0.3689,0.4867,1
32700,0.2506,0.2467,1.288e+17,0.3687,0.4864,1
32800,0.2506,0.2466,1.294e+17,0.3684,0.4862,1
32900,0.2506,0.2466,1.3e+17,0.3682,0.486,1
33000,0.2505,0.2465,1.306e+17,0.368,0.4858,1
33100,0.2505,0.2465,1.311e+17,0.3678,0.4856,1
33200,0.2505,0.2464,1.317e+17,0.3676,0.4854,1
33300,0.2505,0.2464,1.323e+17,0.3674,0.4852,1
33400,0.2504,0.2463,1.329e+17,0.3672,0.485,1
33500,0.2504,0.2463,1.334e+17,0.367,0.4848,1
33600,0.2504,0.2463,1.34e+17,0.3668,0.4847,1
33700,0.2503,0.2462,1.346e+17,0.3666,0.4845,1
33800,0.2503,0.2462,1.352e+17,0.3664,0.4843,1
33900,0.2503,0.2461,1.358e+17,0.3662,0.4841,1
34000,0.2502,0.2461,1.363e+17,0.366,0.4839,1
34100,0.2502,0.246,1.369e+17,0.3658,0.4837,1
34200,0.2502,0.246,1.375e+17,0.3656,0.4835,1
34300,0.2502,0.2459,1.381e+17,0.3654,0.4833,1
34400,0.2501,0.2459,1.386e+17,0.3652,0.4831,1
34500,0.2501,0.2459,1.392e+17,0.365,0.483,1
34600,0.2501,0.2458,1.398e+17,0.3649,0.4828,1
34700,0.25,0.2458,1.404e+17,0.3647,0.4826,1
34800,0.25,0.2457,1.41e+17,0.3645,0.4824,1
34900,0.25,0.2457,1.415e+17,0.3643,0.4822,1
35000,0.25,0.2456,1.421e+17,0.3641,0.4821,1
35100,0.2499,0.2456,1.427e+17,0.3639,0.4819,1
35200,0.2499,0.2456,1.433e+17,0.3638,0.4817,1
35300,0.2499,0.2455,1.439e+17,0.3636,0.4815,1
35400,0.2498,0.2455,1.444e+17,0.3634,0.4814,1
35500,0.2498,0.2454,1.45e+17,0.3632,0.4812,1
35600,0.2498,0.2454,1.456e+17,0.363,0.481,1
35700,0.2498,0.2454,1.462e+17,0.3629,0.4809,1
35800,0.2497,0.2453,1.468e+17,0.3627,0.4807,1
35900,0.2497,0.2453,1.473e+17,0.3625,0.4805,1
36000,0.2497,0.2452,1.479e+17,0.3624,0.4804,1
36100,0.2497,0.2452,1.485e+17,0.3622,0.4802,1
36200,0.2496,0.2452,1.491e+17,0.362,0.48,1
36300,0.2496,0.2451,1.497e+17,0.3619,0.4799,1
36400,0.2496,0.2451,1.502e+17,0.3617,0.4797,1
36500,0.2496,0.245,1.508e+17,0.3615,0.4796,1
36600,0.2495,0.245,1.514e+17,0.3614,0.4794,1
36700,0.2495,0.245,1.52e+17,0.3612,0.4792,1
36800,0.2495,0.2449,1.526e+17,0.361,0.4791,1
36900,0.2495,0.2449,1.531e+17,0.3609,0.4789,1
37000,0.2494,0.2449,1.537e+17,0.3607,0.4788,1
37100,0.2494,0.2448,1.543e+17,0.3605,0.4786,1
37200,0.2494,0.2448,1.549e+17,0.3604,0.4785,1
37300,0.2494,0.2447,1.555e+17,0.3602,0.4783,1
37400,0.2493,0.2447,1.561e+17,0.3601,0.4782,1
37500,0.2493,0.2447,1.566e+17,0.3599,0.478,1
37600,0.2493,0.2446,1.572e+17,0.3598,0.4779,1
37700,0.2493,0.2446,1.578e+17,0.3596,0.4777,1
37800,0.2492,0.2446,1.584e+17,0.3595,0.4776,1
37900,0.2492,0.2445,1.59e+17,0.3593,0.4774,1
38000,0.2492,0.2445,1.595e+17,0.3592,0.4773,1
38100,0.2492,0.2445,1.601e+17,0.359,0.4771,1
38200,0.2491,0.2444,1.607e+17,0.3589,0.477,1
38300,0.2491,0.2444,1.613e+17,0.3587,0.4768,1
38400,0.2491,0.2444,1.619e+17,0.3586,0.4767,1
38500,0.2491,0.2443,1.625e+17,0.3584,0.4766,1
38600,0.2491,0.2443,1.63e+17,0.3583,0.4764,1
38700,0.249,0.2443,1.636e+17,0.3581,0.4763,1
38800,0.249,0.2442,1.642e+17,0.358,0.4761,1
38900,0.249,0.2442,1.648e+17,0.3579,0.476,1
39000,0.249,0.2442,1.654e+17,0.3577,0.4759,1
39100,0.2489,0.2441,1.66e+17,0.3576,0.4757,1
39200,0.2489,0.2441,1.666e+17,0.3574,0.4756,1
39300,0.2489,0.2441,1.671e+17,0.3573,0.4755,1
39400,0.2489,0.244,1.677e+17,0.3572,0.4753,1
39500,0.2489,0.244,1.683e+17,0.357,0.4752,1
39600,0.2488,0.244,1.689e+17,0.3569,0.4751,1
39700,0.2488,0.2439,1.695e+17,0.3567,0.4749,1
39800,0.2488,0.2439,1.701e+17,0.3566,0.4748,1
39900,0.2488,0.2439,1.707e+17,0.3565,0.4747,1
40000,0.2487,0.2438,1.712e+17,0.3563,0.4745,1
41000,0.2487,0.2438,1.712e+17,0.3563,0.4745,1
42000,0.2487,0.2438,1.712e+17,0.3563,0.4745,1
43000,0.2487,0.2438,1.712e+17,0.3563,0.4745,1
44000,0.2487,0.2438,1.712e+17,0.3563,0.4745,1
45000,0.2487,0.2438,1.712e+17,0.3563,0.4745,1
46000,0.2487,0.2438,1.712e+17,0.3563,0.4745,1
47000,0.2487,0.2438,1.712e+17,0.3563,0.4745,1
48000,0.2487,0.2438,1.712e+17,0.3563,0.4745,1
49000,0.2487,0.2438,1.712e+17,0.3563,0.4745,1
50000,0.2487,0.2438,1.712e+17,0.3563,0.4745,1
